,verbatim_text
1215,I flew Polaris and it was a little weird that out of four choices everyone was asked for a first and second choice and even with that some did not get either. It seems there were not enough of each choice on board.
1216,No.
1217,"I liked the opportunity to choose a meal before the flight, this allows you to know what you will be having."
1218,More hot vegetarian options.
1219,"On an earlier flight we purchased the snack packs and it was just bad. Stale food. And it did not work together. For example, we had cheese spreads that were too hard to spread and just broke the crackers. The flavors did not match. It was just like a box of random snacks you bought at Costco. Alaska Airlines does a better snack box."
1220,Wine was complementary which was a lovely touch.
1221,"The food options were generally good in Polaris Class. Unfortunately, I was not able to get any of my food choices as they had run out and my order was taken last. I had to take my last choice (pork) which I do not eat but needed to due to the duration of the flight. This was not the fault of the flight attendant who was very apologetic."
1222,Coffee.
1223,"Please add some more snacks. For 3 & Half hour flight , need some good snacks please. Thanks."
1224,"They did not have any snacks, only drinks."
1225,I could not buy anything because I can not use my card. flight attendant told me it is touchless purchase which is stupid. She said it is due to covid which is more stupid because we are sitting without masks but can not use my card due to coved. the stupidity of flight attendants amazes me.
1226,I miss the food United use to serve.
1227,"Obviously there is not time for a full beverage service on this flight, but a small bottle of water would be much appreciated."
1228,Great.
1229,There was not any….
1230,Would like to have protein only option.
1231,There was no snack offered and beverages selection was limited.
1232,Looking forward to the next flight.
1233,They should offer snack.
1234,"I am not really sure what was offered because I was asleep. I actually had feedback about the airport food/beverage options at the time of the flight: nothing in the gate area, had to go to a completely different gate area for it. But I realize there may not be anything you can do about that."
1235,"no, the service was good."
1236,I am fully satisfied with the beverages served in the flight.
1237,no.
1238,REALLLY good chicken thing. Spiciness was actually... spicy!. In a really good way. I would eat/order the chicken thing off a plane if it was offered.
1239,A snack would have been nice.
1240,This is the on. y time in about 6 flights I was able to eat the meal. I usually bring one onboard. I am lactose intolerant. you always have cheese or a dairy poeduct on your meals. I have tried vegetarian and kosher. they suck. Beverages are fine.
1241,On longer fights a heavier free snack option would be great other than pretzels.
1242,There was no food/snack. Only meals for purchase.
1243,Nothing available to purchase.
1244,no.
1245,Would like more choices of sodas. Coke and sprite are not my choice of good sodas.
1246,For the price difference food and beverage offerings should be better.
1247,"Compared to other flights, there seemed to be less wine options (maybe only 2 or 3 choices)."
1248,"have a more healthy options , like mix nuts or more organic less sugar snacks."
1249,More selection would be nice. I did not know the selections because I did not want to touch the magazine.
1250,The salad was a welcome change from the usual entrees.
1251,Breakfast was awful.
1252,it would have been nice to have a snack that you did not have to purchase.
1253,Food from Outbound flight was not palatable therefore did not consume on the inbound flight.
1254,No snacks on 2nd flight. Not loaded.
1255,The “croissant” was a waste of space for breakfast and was not good. The sides we pretty mediocre at best. Entrees we are pretty good but not amazing.
1256,I would really love some more healthy options like some fresh fruit or vegetables or a salad.
